Resource Name,Address,Zip,hours,library,open,temporary_shelter,day_center,coord_reentry,group_therapy,showers,meals,food_box,laundry,health_services,misc_services,description,URL,full_address,Latitude,Longitude
Albina Library,205 NE Russell Street,97212,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"205 NE Russell Street, Portland, OR 97212",45.5412647,-122.6633059
Capitol Hill Library,10723 SW Capitol Highway,97219,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"10723 SW Capitol Highway, Portland, OR 97219",45.4480033,-122.7254492
Central Library,801 SW 10th Avenue,97205,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"801 SW 10th Avenue, Portland, OR 97205",45.5191921,-122.6832062
Gregory Heights Library,7921 NE Sandy Boulevard,97213,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"7921 NE Sandy Boulevard, Portland, OR 97213",45.5516489,-122.5813237
Hillsdale Library,1525 SW Sunset Boulevard,97239,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"1525 SW Sunset Boulevard, Portland, OR 97239",45.4798337,-122.6940865
Holgate Library,7905 SE Holgate Boulevard,97206,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"7905 SE Holgate Boulevard, Portland, OR 97206",45.4905447,-122.5821504
Kenton Library,8226 N Denver Avenue,97217,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"8226 N Denver Avenue, Portland, OR 97217",45.5828074,-122.6864628
Midland Library,805 SE 122nd Avenue,97233,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"805 SE 122nd Avenue, Portland, OR 97233",45.5167299,-122.5384705
North Portland Library,512 N Killingsworth Street,97217,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"512 N Killingsworth Street, Portland, OR 97217",45.5624605,-122.6715265
Northwest Library,2300 NW Thurman Street,97210,TBD,1,1,0,0,0,0,0,0,0,0,0,0,public library,TBD,"2300 NW Thurman Street, Portland, OR 97210",45.535336,-122.6991446
Belmont Library,1038 SE César E. Chávez Boulevard,97214,TBD,1,0,0,0,0,0,0,0,0,0,0,0,public library,TBD,"1038 SE César E. Chávez Boulevard, Portland, OR 97214",45.5152669,-122.6226755
Hollywood Library,4040 NE Tillamook Street,97212,TBD,1,0,0,0,0,0,0,0,0,0,0,0,public library,TBD,"4040 NE Tillamook Street, Portland, OR 97212",45.537627,-122.6211734
Rockwood Library,17917 SE Stark Street,97233,TBD,1,0,0,0,0,0,0,0,0,0,0,0,public library,TBD,"17917 SE Stark Street, Portland, OR 97233",45.5195567,-122.4790759
Sellwood-Moreland Library,7860 SE 13th Avenue,97202,TBD,1,0,0,0,0,0,0,0,0,0,0,0,public library,TBD,"7860 SE 13th Avenue, Portland, OR 97202",45.4676316,-122.652746
St. Johns Library,7510 N Charleston Avenue,97203,TBD,1,0,0,0,0,0,0,0,0,0,0,0,public library,TBD,"7510 N Charleston Avenue, Portland, OR 97203",45.5900361,-122.7510527
Woodstock Library,6008 SE 49th Avenue,97206,TBD,1,0,0,0,0,0,0,0,0,0,0,0,public library,TBD,"6008 SE 49th Avenue, Portland, OR 97206",45.479005,-122.6121065
Clackamas Service Center,8800 SE 80th Avenue,97206,Tuesday-Thursday 10am-1pm,0,1,0,1,0,0,1,0,0,0,0,0,"Provides hot showers with shampoo, soap, and a towel. Change of underclothes provided when available. Showers limited to 15 minutes.",TBD,"8800 SE 80th Avenue, Portland, OR 97206",45.4602016,-122.581345
Cultivate Initiatives,3130 SE 148th Avenue,97236,Varies,0,1,0,1,0,0,1,0,0,0,1,1,"Provides a mobile van for showers, clothing, haircuts, hygiene products, COVID-19 screenings, wound care, health education, and provider referrals. Some services are conducted by nursing students and depend on volunteers.",TBD,"3130 SE 148th Avenue, Portland, OR 97236",45.499563,-122.5096209
Union Gospel Mission,9715 SE Powell Boulevard,97266,Saturday 10am-2pm,0,1,0,1,0,0,1,0,0,0,0,0,Provides a mobile shower trailer.,TBD,"9715 SE Powell Boulevard, Portland, OR 97266",45.4979579,-122.5635818
Fort Kennedy,7600 SE Johnson Creek Boulevard,97206,Monday-Friday 9am-3pm,0,1,0,1,0,0,1,0,1,0,1,1,"Provides food boxes, pet food, clothing, showers, blood pressure checks, bus passes, legal information services, and benefit and housing resources.",TBD,"7600 SE Johnson Creek Boulevard, Portland, OR 97206",45.4553087,-122.5860317
Cultivate Initiatives,4033 SE Woodstock Boulevard,97202,Saturday 11am-2pm,0,1,0,1,0,0,1,0,0,0,1,1,"Provides a mobile van for showers, clothing, haircuts, hygiene products, COVID-19 screenings, wound care, health education, and provider referrals. Some services are conducted by nursing students and depend on volunteers.",TBD,"4033 SE Woodstock Boulevard, Portland, OR 97202",45.4795547,-122.6210406
New Avenues For Youth,470 SE 165th Avenue,97233,Monday-Friday 10am-6pm,0,1,0,1,0,0,1,0,0,1,0,1,"Offers access to showers, laundry, clothes, computers, internet, and supportive advocates. Hosts regular activities where youth can access resources, explore their artistic talents, join recreation groups, and learn new skills. Also connects youth to other services like education, job training, employment, housing, LGBTQIA2S+ supports, and more.",TBD,"470 SE 165th Avenue, Portland, OR 97233",45.5194758,-122.4924796
Cultivate Initiatives,247 SE 82nd Avenue,97215,Tuesday/Thursday 11am-2pm,0,1,0,1,0,0,1,0,0,0,0,1,"Provides a mobile van for showers, clothing, haircuts, hygiene products, COVID-19 screenings, wound care, health education, and provider referrals. Some services are conducted by nursing students and depend on volunteers.",TBD,"247 SE 82nd Avenue, Portland, OR 97215",45.5202293,-122.579177
Union Gospel Mission,1302 SE Ankeny Street,97214,Monday 9am-noon,0,1,0,1,0,0,1,0,0,0,0,0,Provides a mobile shower trailer.,TBD,"1302 SE Ankeny Street, Portland, OR 97214",45.5218491,-122.6520975
Union Gospel Mission,3 NW Third Avenue,97209,Wednesday 9am-12:30pm,0,1,0,1,0,0,1,0,0,0,0,0,Provides a mobile shower trailer.,TBD,"3 NW Third Avenue, Portland, OR 97209",,
New Avenues For Youth,314 SW 9th Avenue,97205,Monday-Friday 10am-6pm,0,1,0,1,0,0,1,1,0,1,0,0,"Provides a safe space where youth can get meals six days per week. Offers access to showers, laundry, clothes, computers, internet, and supportive advocates. Hosts regular activities where youth can access resources, explore their artistic talents, join recreation groups, and learn new skills. Also connects youth to other services like education, job training, employment, housing, LGBTQIA2S+ supports, and more.",TBD,"314 SW 9th Avenue, Portland, OR 97205",45.5222143,-122.6798131
Outside In,1132 SW 13th Avenue,97205,Various,0,1,0,1,0,0,1,1,0,1,0,0,"A drop in center that provides basic needs services such as meals, recreation/activities, showers, laundry, phone, mailing address, and computers. Also offers a safe space for LGBTQ youth.",TBD,"1132 SW 13th Avenue, Portland, OR 97205",45.51761,-122.6864992
Transition Projects,650 NW Irving Street,97209,Various,0,1,0,1,0,0,1,0,0,0,0,1,"The Resource Center helps people access services at Transition Projects, Bud Clark Commons, and other agencies to help people transition out of homelessness into housing.",TBD,"650 NW Irving Street, Portland, OR 97209",45.5275863,-122.6773354
Ecumenical Ministries Of Oregon,2941 NE Ainsworth Street,97211,Various,0,1,0,1,0,0,1,1,0,1,1,1,"Provides a drop-in center serving hot breakfast and lunches, access to phones and computers, and recreational activities such as art therapy, games, and video-based media. Also provides clothing, showers, mail services, and hygiene supplies. Guests have access to laundry services, massages, acupuncture, foot care, and haircuts on a sign-up basis.",TBD,"2941 NE Ainsworth Street, Portland, OR 97211",45.5666521,-122.6352444
Join,1435 NE 81st Avenue,97213,Monday/Wednesday/Thursday/Friday 11am-3:30pm,0,1,0,1,0,0,1,0,0,0,0,0,"Provides a daytime drop-in center. Services include access to showers, bathrooms, mail pick up and PO Box setup, hygiene items, diapers, pet food, on-site WiFi and telephone usage, and specialized information and referral.",TBD,"1435 NE 81st Avenue, Portland, OR 97213",45.5332875,-122.5803463
Cultivate Initiatives,12505 NE Halsey Street,97230,Varies,0,1,0,1,0,0,1,0,0,0,1,1,"Provides a mobile van for showers, clothing, haircuts, hygiene products, COVID-19 screenings, wound care, health education, and provider referrals. Some services are conducted by nursing students and depend on volunteers.",TBD,"12505 NE Halsey Street, Portland, OR 97230",45.5341769,-122.533971
Rose Haven,1740 NW Glisan Street,97209,Various,0,1,0,0,0,0,0,1,0,1,0,1,"Helping to meet the needs of displaced women and children.  Provides a drop in center that assists with food, clothing, diapers, showers, hygiene items, pet food, laundry facilities, bus fare, and temporary mailing addresses. Advocates are available to help connect individuals to community resources. Offers limited financial assistance in obtaining ID, storage fees, phone bills, education and employment clothing and training fees, rental applications, and electric, gas, water, and sewer bills. Outdoor gear is provided when available. No overnight shelter or rental assistance.",TBD,"1740 NW Glisan Street, Portland, OR 97209",45.5262429,-122.6890474
Ecumenical Ministries of Oregon,2941 NE Ainsworth Street,97211,Various,0,1,0,0,0,0,0,1,0,1,1,1,"Provides a drop-in center serving hot breakfast and lunches, access to phones and computers, and recreational activities such as art therapy, games, and video-based media. Also provides clothing, showers, mail services, and hygiene supplies. Guests have access to laundry services, massages, acupuncture, foot care, and haircuts on a sign-up basis.",TBD,"2941 NE Ainsworth Street, Portland, OR 97211",45.5666521,-122.6352444
Rahab's Sisters,232 SE 80th Avenue,97215,Various,0,1,0,0,0,0,0,0,1,0,0,1,"Provides a drop-in center with access to community meals, a clothing closet, supplies, and access to other community providers.",TBD,"232 SE 80th Avenue, Portland, OR 97215",45.5205758,-122.5807633
The Rosewood Initiative,14127 SE Stark Street,97233,Wednesday 10am-3pm,0,1,0,0,0,0,0,0,1,0,0,1,"Provides information about internal programs, one-on-one resource navigation, workforce navigation (resumes, job search, and more), digital navigation (assistance with using computers or iPads), TriMet Low Income Fare signups, and a food pantry. Is a host site for Multnomah County Access Attorney Program office hours (victim advocacy, system navigation, and general information).",TBD,"14127 SE Stark Street, Portland, OR 97233",45.5193183,-122.517889
Helping Hands Reentry Outreach Centers,14355 N Bybee Lake Court,97203,Monday-Friday 8am-5pm,0,1,1,0,0,0,1,1,0,1,1,1,"Provides emergency shelter and transitional housing. Participants have access to food and clothing, assistance with applying for health insurance, and a comprehensive needs assessment process supported by a case manager. Can provide information and referrals about identification replacement, schooling, and job placement services.",TBD,"14355 N Bybee Lake Court, Portland, OR 97203",45.6262971,-122.7577775
Salvation Army Moore Street Corps & Community Center,5325 N Williams Avenue,97217,Open 7 days per week 8pm-6am,0,1,1,0,0,0,0,0,1,0,0,1,"Offers an overnight shelter with a capacity of 100 beds. Provides food, sleeping mats, and hygiene supplies.",TBD,"5325 N Williams Avenue, Portland, OR 97217",45.5622175,-122.6675336
Transition Projects,5329 NE Martin Luther King Jr Boulevard,97211,24 hours per day / 7 days per week,0,1,1,0,0,0,1,0,0,1,0,1,"Offering a low-barrier shelter. Residents will have access to coffee, tea, books, and board games. Bathrooms, showers, and laundry onsite are available for program participants.",TBD,"5329 NE Martin Luther King Jr Boulevard, Portland, OR 97211",45.5622791,-122.6618325
Family Promise Of Metro East,4837 NE Couch Street,97213,Monday-Thursday 10am-5pm,0,1,1,0,0,0,0,0,0,0,0,1,"Provides shelter with case management services. Residents must undergo a background check, remain clean and sober throughout their stay, and be willing to participate in the organization's program to overcome barriers and apply for sustainable housing. Preference is given to families whose last housed location was in Multnomah County.",TBD,"4837 NE Couch Street, Portland, OR 97213",45.5238853,-122.6136259
Do Good Multnomah,1415 SE 122nd Avenue,97233,24 hours per day / 7 days per week,0,1,1,0,0,0,0,1,0,0,0,1,"Provides a reservation based low-barrier shelter with a capacity to serve 110 veterans. Clients will be housed in single rooms. Access to restrooms, showers, basic hygiene supplies, light food, and beverages will be offered. Once a space is reserved, the guest may continue to use until it's no longer needed. This shelter operates off a waitlist model and programs may not be immediately accessible.",TBD,"1415 SE 122nd Avenue, Portland, OR 97233",45.513338,-122.5380981
Transition Projects,1111 NW Naito Parkway,97209,24 hours per day / 7 days per week,0,1,1,0,0,0,1,0,0,1,0,1,"The Navigation Center is a temporary, low-barrier shelter serving up to 90 adults. The site has a space for coffee and tea, books and board games, a gated courtyard, showers and laundry, space to leave belongings during the day, and provides onsite meals. Staff will provide housing-focused support, employment and benefits assistance, and health-focused services.",TBD,"1111 NW Naito Parkway, Portland, OR 97209",45.5307084,-122.676937
Sunstone Way,120 SE Market Street,97214,24 hours per day / 7 days per week,0,1,1,0,0,0,0,0,0,1,0,1,"Provides a temporary, low-barrier shelter serving up to 125 adults. The shelter will work with community partners to offer health and housing navigation services to all guests at the shelter. The shelter will offer laundry access, storage, restrooms, and offices. Once a space is reserved, the guest may continue to use the space until they no longer need it.",TBD,"120 SE Market Street, Portland, OR 97214",45.5103701,-122.6641936
Transition Projects,6130 SE Foster Road,97206, 24 hours per day / 7 days per week,0,1,1,0,0,0,0,0,0,1,0,1,"Shelter and service center for up to 120 people experiencing homelessness. The site has a space for coffee and tea, books and board games, a gated courtyard, showers and laundry, space to leave belongings during the day and provides onsite meals. Staff will provide housing-focused support, employment and benefits assistance, and health-focused services.",TBD,"6130 SE Foster Road, Portland, OR 97206",45.4911483,-122.600281
Transition Projects,5120 SE Milwaukie Avenue,97202, 24 hours per day / 7 days per week,0,1,1,0,0,0,1,0,0,1,0,1,"Shelter and service center for up to 120 people experiencing homelessness. The site has 2 large sleeping rooms, a space for coffee and tea, books and board games, a gated courtyard, showers and laundry, space to leave belongings during the day, and a kitchen for light food and beverages. Staff will provide information, referral, and support. Onsite support services include housing, health, and income resources.",TBD,"5120 SE Milwaukie Avenue, Portland, OR 97202",45.4857289,-122.6493271
Agape Village,9715 SE Powell Boulevard,97266,7 days per week 9pm-7am,0,1,1,0,0,0,0,0,0,0,0,1,Provides a community shelter with 80 beds. Shelter does not offer showers. Guests can stay for up to 90 days unless they engage in other services such as case management or housing support.,TBD,"9715 SE Powell Boulevard, Portland, OR 97266",45.4979579,-122.5635818
Urban League Of Portland,10 N Russell Street,97227,Housing screening: No standard hours,0,1,0,0,1,0,0,0,0,0,0,1,"Provides assistance to those with housing needs, including payments for rent, rental deposit, and rental applications. Also provides screening for emergency shelter. Assistance is dependent upon available funding and not guaranteed.",TBD,"10 N Russell Street, Portland, OR 97227",45.5408515,-122.667002
Transition Projects,650 NW Irving Street,97209,Monday-Friday 8:30am-4:30pm,0,1,0,0,1,0,0,0,0,0,0,1,"Provides a short-term housing intervention program for low-income veterans and their families experiencing homelessness or at imminent risk of becoming homeless.

Veterans and their families can be assisted with housing through case management, pending eligibility. If eligible, assistance and support may include move-in/rental assistance, eviction prevention, benefits support, employment and education services, legal aid around housing barriers, and other expenses that may support stable housing.

Must be willing to work with a caseworker. May require clients to be alcohol- and drug-free. Assistance in any of these programs depends on availability of funds.",TBD,"650 NW Irving Street, Portland, OR 97209",45.5275863,-122.6773354
Janus Youth Programs,1635 SW Alder Street,97205,7 days per week 9am-5pm,0,1,1,0,1,0,0,0,1,0,0,1,"The Access Center is a service for homeless and runaway youth who are seeking intake assessment and referral. Provides basic needs including food, clothing, basic medical supplies, and shelter. Youth receive an assessment to determine if they meet homeless youth services requirements. For youth in crisis, emergency shelter is provided at Porch Light Youth Shelter.",TBD,"1635 SW Alder Street, Portland, OR 97205",45.5224683,-122.6881414
Call To Safety,PO Box 42610,97242,24 hours per day / 7 days per week,0,1,1,0,1,0,0,0,0,0,0,1,"Provides an entry point into the Portland Metro area's domestic violence shelter and housing resources. Shelter access is dependent on available and not guaranteed. The agency does not maintain any sort of waitlists.

Pre-screens and provides referrals for a Safety and Stabilization Assessment (SSA) for domestic violence shelters or housing resources. SSA is required before accessing most direct domestic violence services.",TBD,"PO Box 42610, Portland, OR 97242",,
Pdx Saints Love,247 SE 82nd Avenue,97216,Various,0,1,0,1,1,0,0,1,0,0,1,1,"Provides a day center for sheltering, hot meals, a once a week to go meal, haircuts, clothing, public restrooms, bus passes, wound care, hygiene kits, OHP and SNAP form assistance, ID and birth record replacement and payment assistance, severe weather supplies (depending on availability), resources for housing navigation and shelter referrals, detox referrals, overdose prevention, and Narcan supplies. Community Health Workers (CHWs), Peer Wellness Specialists (PWS), and Peer Support Specialists (PSS) are available to assist with resources, connections to health care, and case management.",TBD,"247 SE 82nd Avenue, Portland, OR 97216",45.5202293,-122.579177
Lifestance Health,4212 SE Division Street,97206,Monday-Friday 9am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides mental health evaluations and individual, couples, and faith-based counseling. Offers psychiatric medication evaluation and management services.",TBD,"4212 SE Division Street, Portland, OR 97206",45.5051277,-122.6186167
Cascadia Health,1411 SW Morrison Street,97205,"In person: Monday-Thursday 9am-6pm, Friday 9am-5pm
Telehealth: Monday-Thursday 9am-8pm, Friday 9am-5pm",0,1,0,0,0,1,0,0,0,0,0,0,"Provides an intake line for services such as case management, individual, family, group, geriatric and LGBTQ counseling, alcohol and drug treatment services, DUII and gambling addiction/treatment services, recovery housing services, sexual abuse counseling, domestic violence services, urgent mental health services, medication management, money management, outreach, crisis intervention, outpatient mental health services, and early intervention services.

Provides about 1000 units in sites operating as licensed residential, permanent supported housing, and independent housing.",TBD,"1411 SW Morrison Street, Portland, OR 97205",45.5214476,-122.6865978
Pacific University,9755 SW Barnes Road,97225,Monday-Friday 8:30am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides mental health services to the community through individual, couples, family, child, and group therapy; psychological and cognitive assessments; consultation services; and psycho-educational services

No crisis intake. No primary alcohol and drug or conservator/guardian evaluations.",TBD,"9755 SW Barnes Road, Portland, OR 97225",45.5118336,-122.7779976
Lifestance Health,4445 SW Barbur Boulevard,97239,"Monday-Friday 8am-9pm, Saturday 10am-3pm",0,1,0,0,0,1,0,0,0,0,0,0,"Provides mental health evaluations and individual, couples, and faith-based counseling. Offers psychiatric medication evaluation and management services.",TBD,"4445 SW Barbur Boulevard, Portland, OR 97239",45.491422,-122.6785654
Lewis And Clark Community Counseling Center,3600 N Interstate Avenue,97227,Monday-Friday 8am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Offers individual, couples, family, and group counseling and therapy services for people of all ages facing mental health, addiction, and/or relationship challenges. Offers sex therapy and help navigating sexuality and gender identity and transitions. Provides treatment to individuals and families related to problematic internet and gaming behaviors.

All therapeutic services are strictly confidential. Please note the Center is not a crisis intervention facility and does not offer medication management (appropriate referrals will be provided).",TBD,"3600 N Interstate Avenue, Portland, OR 97227",45.5481714,-122.6803633
Kaiser Permanente Health Care,3500 NE Martin Luther King Jr Boulevard,97212,Monday-Friday 8:30am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides education, psychological support, and individual, child, family, and group counseling. Teaches relaxation, communication, positive image, and goal setting skills for people with cancer and the people that support them. Ongoing grief counseling for families. Open to both Kaiser members and nonmembers.",TBD,"3500 NE Martin Luther King Jr Boulevard, Portland, OR 97212",45.5484512,-122.6611888
Lifestance Health,4055 SW Garden Home Road,97219, Monday-Friday 9am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides mental health evaluations and individual, couples, and faith-based counseling. Offers psychiatric medication evaluation and management services.",TBD,"4055 SW Garden Home Road, Portland, OR 97219",45.4666878,-122.7190875
Mindful Therapy Pacific Nw,825 NE 20th Avenue,97232, Monday-Friday 9am-4pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides counseling services for individuals, groups, and couples. Offers in-person and telehealth sessions.",TBD,"825 NE 20th Avenue, Portland, OR 97232",45.5288606,-122.6456527
Portland Therapy Project,7305 NE Glisan Street,97213,Thursday 3pm-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides mental health services which offers individual, couple, group, and gender affirming counseling that specializes in trauma, body-centered work, and LGBTQ+. Provides World Professional Association for Transgender Health letters of readiness for gender affirming surgeries.",TBD,"7305 NE Glisan Street, Portland, OR 97213",45.5266957,-122.5875796
Pathfinder Network,10373 NE Hancock Street,97220,Monday-Friday 8:30am-7pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides strength-based group sessions through the utilization of trauma-informed approaches such as mindfulness practices, relational therapy, cognitive-behavior techniques (CBT), psycho-education, and body-focused movement.
Meals are provided and childcare is available.",TBD,"10373 NE Hancock Street, Portland, OR 97220",45.5366462,-122.5558794
Cascadia Health,6200 SE King Road,97222,Varies by service,0,1,0,0,0,1,0,0,0,0,0,0,"Offers mental health counseling for families, primary care, and substance use disorder (SUD) services, including Adult Outpatient/Recovery day services.",TBD,"6200 SE King Road, Portland, OR 97222",,
Northwest Family Services,3231 SE 50th Avenue,97206,"Monday-Thursday 8am-6pm, Friday 8am-5pm",0,1,0,0,0,1,0,0,0,0,0,0,"Professional counseling provided by licensed counselors. Services include individual, couples, and family counseling, as well as educational seminars and classes on topics including depression, anxiety, grief, anger management, body image, parenting, and communication skills.",TBD,"3231 SE 50th Avenue, Portland, OR 97206",45.4990592,-122.6116297
Quest Center For Integrative Health,12636 SE Stark Street,97233,Monday-Friday 8:30am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provide services, counseling, support groups, and education to people seeking a wellness-focused approach to living and dying. Assist clients to sustain lifestyle changes that support healing and to effectively strengthen those diagnosed with chronic or life-challenging illnesses, including HIV/AIDS, mental health disorders, chemical dependency, and breast cancer. Offers naturopathic, osteopathic, and Chinese medicine and non-opioid pain management services.",TBD,"12636 SE Stark Street, Portland, OR 97233",45.5191274,-122.5332676
Lifestance Health,12636 SE Stark Street,97233,Monday-Friday 8:30am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides mental health evaluations and individual, couples, and faith-based counseling. Offers psychiatric medication evaluation and management services.",TBD,"12636 SE Stark Street, Portland, OR 97233",45.5191274,-122.5332676
