Resource Name,Address,Zip,hours,library,open,temporary_shelter,day_center,coord_reentry,group_therapy,showers,meals,food_box,laundry,health_services,misc_services,description,URL,full_address,Latitude,Longitude,Address_clean,Zip_clean,ADDRESS_clean,ZIP_clean,match_method,match_score,match_method_display,neighborhood,resource_calc-nolib,resource_calc_total
Albina Library,205 NE Russell Street,97212.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"205 NE Russell Street, Portland, OR 97212",45.541366439963305,-122.6631345,205 NE RUSSELL STREET,97212.0,205 NE RUSSELL STREET,97212.0,exact,,exact,Eliot,0,1
Capitol Hill Library,10723 SW Capitol Highway,97219.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"10723 SW Capitol Highway, Portland, OR 97219",45.44804216118064,-122.7254303,10723 SW CAPITOL HIGHWAY,97219.0,,,fuzzy,90.90909091,fuzzy (90.9%),West Portland Park,0,1
Central Library,801 SW 10th Avenue,97205.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"801 SW 10th Avenue, Portland, OR 97205",45.51905572713763,-122.6822571,801 SW 10TH AVENUE,97205.0,801 SW 10TH AVENUE,97205.0,exact,,exact,Portland Downtown,0,1
Gregory Heights Library,7921 NE Sandy Boulevard,97213.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"7921 NE Sandy Boulevard, Portland, OR 97213",45.55179953,-122.5813727,7921 NE SANDY BOULEVARD,97213.0,,,none,,none,Roseway,0,1
Hillsdale Library,1525 SW Sunset Boulevard,97239.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"1525 SW Sunset Boulevard, Portland, OR 97239",45.47990597,-122.6940985,1525 SW SUNSET BOULEVARD,97239.0,,,none,,none,Hillsdale,0,1
Holgate Library,7905 SE Holgate Boulevard,97206.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"7905 SE Holgate Boulevard, Portland, OR 97206",45.49062657,-122.5822888,7905 SE HOLGATE BOULEVARD,97206.0,,,none,,none,Foster-Powell,0,1
Kenton Library,8226 N Denver Avenue,97217.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"8226 N Denver Avenue, Portland, OR 97217",45.582857224659215,-122.6863928,8226 N DENVER AVENUE,97217.0,8226 N DENVER AVENUE,97217.0,exact,,exact,Kenton,0,1
Midland Library,805 SE 122nd Avenue,97233.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"805 SE 122nd Avenue, Portland, OR 97233",45.51669359075793,-122.5385736,805 SE 122ND AVENUE,97233.0,805 SE 122ND AVENUE,97233.0,exact,,exact,Mill Park,0,1
North Portland Library,512 N Killingsworth Street,97217.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"512 N Killingsworth Street, Portland, OR 97217",45.56245395292595,-122.6715206,512 N KILLINGSWORTH STREET,97217.0,512 N KILLINGSWORTH STREET,97217.0,exact,,exact,Humboldt,0,1
Northwest Library,2300 NW Thurman Street,97210.0,TBD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"2300 NW Thurman Street, Portland, OR 97210",45.53529876654214,-122.6992013,2300 NW THURMAN STREET,97210.0,2300 NW THURMAN STREET,97210.0,exact,,exact,Northwest District,0,1
Belmont Library,"1038 SE Cesar Estrada Chavez Blvd, Portland, OR 97214",97214.0,TBD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"1038 SE Cesar Estrada Chavez Blvd, Portland, OR 97214",45.51546083,-122.6226473,1038 SE CÃƒâ€°SAR E CHÃƒÂVEZ BOULEVARD,97214.0,,,none,,none,Sunnyside,0,0
Hollywood Library,4040 NE Tillamook Street,97212.0,TBD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"4040 NE Tillamook Street, Portland, OR 97212",45.53766361456348,-122.6212679,4040 NE TILLAMOOK STREET,97212.0,4040 NE TILLAMOOK STREET,97212.0,exact,,exact,Hollywood,0,0
Rockwood Library,17917 SE Stark Street,97233.0,TBD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"17917 SE Stark Street, Portland, OR 97233",45.51967707004936,-122.479011,17917 SE STARK STREET,97233.0,17917 SE STARK STREET,97233.0,exact,,exact,Rockwood,0,0
Sellwood-Moreland Library,7860 SE 13th Avenue,97202.0,TBD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"7860 SE 13th Avenue, Portland, OR 97202",45.46752500014773,-122.6527663,7860 SE 13TH AVENUE,97202.0,7860 SE 13TH AVENUE,97202.0,exact,,exact,Sellwood-Moreland,0,0
St. Johns Library,7510 N Charleston Avenue,97203.0,TBD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"7510 N Charleston Avenue, Portland, OR 97203",45.58998194544821,-122.751066,7510 N CHARLESTON AVENUE,97203.0,7510 N CHARLESTON AVENUE,97203.0,exact,,exact,St. Johns,0,0
Woodstock Library,6008 SE 49th Avenue,97206.0,TBD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,public library,TBD,"6008 SE 49th Avenue, Portland, OR 97206",45.47885949,-122.6121065,6008 SE 49TH AVENUE,97206.0,6008 SE 49TH AVENUE,97206.0,exact,,exact,Woodstock,0,0
Clackamas Service Center,8800 SE 80th Avenue,97206.0,Tuesday-Thursday 10am-1pm,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Provides hot showers with shampoo, soap, and a towel. Change of underclothes provided when available. Showers limited to 15 minutes.",TBD,"8800 SE 80th Avenue, Portland, OR 97206",45.46021728606144,-122.581071,8800 SE 80TH AVENUE,97206.0,8800 SE 80TH AVENUE,97206.0,exact,,exact,Brentwood-Darlington,2,2
Cultivate Initiatives,3130 SE 148th Avenue,97236.0,Varies,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,"Provides a mobile van for showers, clothing, haircuts, hygiene products, COVID-19 screenings, wound care, health education, and provider referrals. Some services are conducted by nursing students and depend on volunteers.",TBD,"3130 SE 148th Avenue, Portland, OR 97236",45.49956100051255,-122.5095894,3130 SE 148TH AVENUE,97236.0,3130 SE 148TH AVENUE,97236.0,exact,,exact,Centennial,4,4
Union Gospel Mission,9715 SE Powell Boulevard,97266.0,Saturday 10am-2pm,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Provides a mobile shower trailer.,TBD,"9715 SE Powell Boulevard, Portland, OR 97266",45.49808927,-122.5636404,9715 SE POWELL BOULEVARD,97266.0,,,none,,none,Powellhurst-Gilbert,2,2
Fort Kennedy,7600 SE Johnson Creek Boulevard,97206.0,Monday-Friday 9am-3pm,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,"Provides food boxes, pet food, clothing, showers, blood pressure checks, bus passes, legal information services, and benefit and housing resources.",TBD,"7600 SE Johnson Creek Boulevard, Portland, OR 97206",45.45534168042028,-122.5861161,7600 SE JOHNSON CREEK BOULEVARD,97206.0,,,fuzzy,91.22807018,fuzzy (91.2%),Ardenwald-Johnson Creek,5,5
Cultivate Initiatives,4033 SE Woodstock Boulevard,97202.0,Saturday 11am-2pm,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,"Provides a mobile van for showers, clothing, haircuts, hygiene products, COVID-19 screenings, wound care, health education, and provider referrals. Some services are conducted by nursing students and depend on volunteers.",TBD,"4033 SE Woodstock Boulevard, Portland, OR 97202",45.47980827,-122.6207593,4033 SE WOODSTOCK BOULEVARD,97202.0,,,none,,none,Woodstock,4,4
New Avenues For Youth,470 SE 165th Avenue,97233.0,Monday-Friday 10am-6pm,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,"Offers access to showers, laundry, clothes, computers, internet, and supportive advocates. Hosts regular activities where youth can access resources, explore their artistic talents, join recreation groups, and learn new skills. Also connects youth to other services like education, job training, employment, housing, LGBTQIA2S+ supports, and more.",TBD,"470 SE 165th Avenue, Portland, OR 97233",45.51964852029713,-122.4923917,470 SE 165TH AVENUE,97233.0,470 SE 165TH AVENUE,97233.0,exact,,exact,Powellhurst-Gilbert,4,4
Cultivate Initiatives,247 SE 82nd Avenue,97215.0,Tuesday/Thursday 11am-2pm,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"Provides a mobile van for showers, clothing, haircuts, hygiene products, COVID-19 screenings, wound care, health education, and provider referrals. Some services are conducted by nursing students and depend on volunteers.",TBD,"247 SE 82nd Avenue, Portland, OR 97215",45.52080981552049,-122.6105076,247 SE 82ND AVENUE,97215.0,,,fuzzy,94.44444444444444,fuzzy (94.4%),Mt. Tabor,3,3
Union Gospel Mission,1302 SE Ankeny Street,97214.0,Monday 9am-noon,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Provides a mobile shower trailer.,TBD,"1302 SE Ankeny Street, Portland, OR 97214",45.52185926,-122.6519974,1302 SE ANKENY STREET,97214.0,1302 SE ANKENY STREET,97214.0,exact,,exact,Buckman,2,2
Union Gospel Mission,3 NW Third Avenue,97209.0,Wednesday 9am-12:30pm,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Provides a mobile shower trailer.,TBD,"3 NW Third Avenue, Portland, OR 97209",45.52533758,-122.6735082,3 NW THIRD AVENUE,97209.0,,,none,,none,Old Town,2,2
New Avenues For Youth,314 SW 9th Avenue,97205.0,Monday-Friday 10am-6pm,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,"Provides a safe space where youth can get meals six days per week. Offers access to showers, laundry, clothes, computers, internet, and supportive advocates. Hosts regular activities where youth can access resources, explore their artistic talents, join recreation groups, and learn new skills. Also connects youth to other services like education, job training, employment, housing, LGBTQIA2S+ supports, and more.",TBD,"314 SW 9th Avenue, Portland, OR 97205",45.52220670664016,-122.6798266,314 SW 9TH AVENUE,97205.0,314 SW 9TH AVENUE,97205.0,exact,,exact,Portland Downtown,4,4
Outside In,1132 SW 13th Avenue,97205.0,Various,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,"A drop in center that provides basic needs services such as meals, recreation/activities, showers, laundry, phone, mailing address, and computers. Also offers a safe space for LGBTQ youth.",TBD,"1132 SW 13th Avenue, Portland, OR 97205",45.51758203529168,-122.6865629,1132 SW 13TH AVENUE,97205.0,1132 SW 13TH AVENUE,97205.0,exact,,exact,Portland Downtown,4,4
Transition Projects,650 NW Irving Street,97209.0,Various,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"The Resource Center helps people access services at Transition Projects, Bud Clark Commons, and other agencies to help people transition out of homelessness into housing.",TBD,"650 NW Irving Street, Portland, OR 97209",45.5277911,-122.6773006,650 NW IRVING STREET,97209.0,650 NW IRVING STREET,97209.0,exact,,exact,Old Town,3,3
Ecumenical Ministries Of Oregon,2941 NE Ainsworth Street,97211.0,Various,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,"Provides a drop-in center serving hot breakfast and lunches, access to phones and computers, and recreational activities such as art therapy, games, and video-based media. Also provides clothing, showers, mail services, and hygiene supplies. Guests have access to laundry services, massages, acupuncture, foot care, and haircuts on a sign-up basis.",TBD,"2941 NE Ainsworth Street, Portland, OR 97211",45.56661732772423,-122.6353293,2941 NE AINSWORTH STREET,97211.0,2941 NE AINSWORTH STREET,97211.0,exact,,exact,Concordia,6,6
Join,1435 NE 81st Avenue,97213.0,Monday/Wednesday/Thursday/Friday 11am-3:30pm,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Provides a daytime drop-in center. Services include access to showers, bathrooms, mail pick up and PO Box setup, hygiene items, diapers, pet food, on-site WiFi and telephone usage, and specialized information and referral.",TBD,"1435 NE 81st Avenue, Portland, OR 97213",45.533199655692464,-122.5803161,1435 NE 81ST AVENUE,97213.0,1435 NE 81ST AVENUE,97213.0,exact,,exact,Montavilla,2,2
Cultivate Initiatives,12505 NE Halsey Street,97230.0,Varies,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,"Provides a mobile van for showers, clothing, haircuts, hygiene products, COVID-19 screenings, wound care, health education, and provider referrals. Some services are conducted by nursing students and depend on volunteers.",TBD,"12505 NE Halsey Street, Portland, OR 97230",45.53422331,-122.5340141,12505 NE HALSEY STREET,97230.0,12505 NE HALSEY STREET,97230.0,exact,,exact,Russell,4,4
Rose Haven,1740 NW Glisan Street,97209.0,Various,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,"Helping to meet the needs of displaced women and children.  Provides a drop in center that assists with food, clothing, diapers, showers, hygiene items, pet food, laundry facilities, bus fare, and temporary mailing addresses. Advocates are available to help connect individuals to community resources. Offers limited financial assistance in obtaining ID, storage fees, phone bills, education and employment clothing and training fees, rental applications, and electric, gas, water, and sewer bills. Outdoor gear is provided when available. No overnight shelter or rental assistance.",TBD,"1740 NW Glisan Street, Portland, OR 97209",45.52624456,-122.6891954,1740 NW GLISAN STREET,97209.0,1740 NW GLISAN STREET,97209.0,exact,,exact,Northwest District,3,3
Ecumenical Ministries of Oregon,2941 NE Ainsworth Street,97211.0,Various,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,"Provides a drop-in center serving hot breakfast and lunches, access to phones and computers, and recreational activities such as art therapy, games, and video-based media. Also provides clothing, showers, mail services, and hygiene supplies. Guests have access to laundry services, massages, acupuncture, foot care, and haircuts on a sign-up basis.",TBD,"2941 NE Ainsworth Street, Portland, OR 97211",45.56661732772423,-122.6353293,2941 NE AINSWORTH STREET,97211.0,2941 NE AINSWORTH STREET,97211.0,exact,,exact,Concordia,4,4
Rahab's Sisters,232 SE 80th Avenue,97215.0,Various,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"Provides a drop-in center with access to community meals, a clothing closet, supplies, and access to other community providers.",TBD,"232 SE 80th Avenue, Portland, OR 97215",45.520607149972136,-122.5811536,232 SE 80TH AVENUE,97215.0,232 SE 80TH AVENUE,97215.0,exact,,exact,Montavilla,2,2
The Rosewood Initiative,14127 SE Stark Street,97233.0,Wednesday 10am-3pm,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"Provides information about internal programs, one-on-one resource navigation, workforce navigation (resumes, job search, and more), digital navigation (assistance with using computers or iPads), TriMet Low Income Fare signups, and a food pantry. Is a host site for Multnomah County Access Attorney Program office hours (victim advocacy, system navigation, and general information).",TBD,"14127 SE Stark Street, Portland, OR 97233",45.519352299791805,-122.5179294,14127 SE STARK STREET,97233.0,14127 SE STARK STREET,97233.0,exact,,exact,Hazelwood,2,2
Helping Hands Reentry Outreach Centers,14355 N Bybee Lake Court,97203.0,Monday-Friday 8am-5pm,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,"Provides emergency shelter and transitional housing. Participants have access to food and clothing, assistance with applying for health insurance, and a comprehensive needs assessment process supported by a case manager. Can provide information and referrals about identification replacement, schooling, and job placement services.",TBD,"14355 N Bybee Lake Court, Portland, OR 97203",45.626056378405416,-122.7574529,14355 N BYBEE LAKE COURT,97203.0,,,fuzzy,93.33333333333331,fuzzy (93.3%),St. Johns,6,6
Salvation Army Moore Street Corps & Community Center,5325 N Williams Avenue,97217.0,Open 7 days per week 8pm-6am,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"Offers an overnight shelter with a capacity of 100 beds. Provides food, sleeping mats, and hygiene supplies.",TBD,"5325 N Williams Avenue, Portland, OR 97217",45.56222552443252,-122.6675374,5325 N WILLIAMS AVENUE,97217.0,5325 N WILLIAMS AVENUE,97217.0,exact,,exact,Humboldt,3,3
Transition Projects,5329 NE Martin Luther King Jr Boulevard,97211.0,24 hours per day / 7 days per week,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,"Offering a low-barrier shelter. Residents will have access to coffee, tea, books, and board games. Bathrooms, showers, and laundry onsite are available for program participants.",TBD,"5329 NE Martin Luther King Jr Boulevard, Portland, OR 97211",45.56217336127628,-122.661845,5329 NE MARTIN LUTHER KING JR BOULEVARD,97211.0,,,fuzzy,93.15068493150685,fuzzy (93.2%),King,4,4
Family Promise Of Metro East,4837 NE Couch Street,97213.0,Monday-Thursday 10am-5pm,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Provides shelter with case management services. Residents must undergo a background check, remain clean and sober throughout their stay, and be willing to participate in the organization's program to overcome barriers and apply for sustainable housing. Preference is given to families whose last housed location was in Multnomah County.",TBD,"4837 NE Couch Street, Portland, OR 97213",45.5240591,-122.6130874,4837 NE COUCH STREET,97213.0,4837 NE COUCH STREET,97213.0,exact,,exact,North Tabor,2,2
Do Good Multnomah,1415 SE 122nd Avenue,97233.0,24 hours per day / 7 days per week,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"Provides a reservation based low-barrier shelter with a capacity to serve 110 veterans. Clients will be housed in single rooms. Access to restrooms, showers, basic hygiene supplies, light food, and beverages will be offered. Once a space is reserved, the guest may continue to use until it's no longer needed. This shelter operates off a waitlist model and programs may not be immediately accessible.",TBD,"1415 SE 122nd Avenue, Portland, OR 97233",45.51340518328273,-122.5380651,1415 SE 122ND AVENUE,97233.0,1415 SE 122ND AVENUE,97233.0,exact,,exact,Mill Park,3,3
